,wait
532,17.0
533,21.0
534,24.0
535,20.0
536,18.0
537,22.0
538,24.0
539,20.0
540,23.0
541,22.0
542,18.0
543,21.0
544,23.0
545,18.0
546,22.0
547,23.0
548,21.0
549,18.0
550,22.0
551,22.0
552,22.0
553,19.0
554,21.0
555,22.0
556,22.0
557,20.0
558,20.0
559,21.0
560,21.0
561,22.0
562,20.0
563,22.0
564,20.0
565,22.0
566,20.0
567,21.0
568,23.0
569,23.0
570,20.0
571,20.0
572,21.0
573,23.0
574,21.0
575,20.0
576,21.0
577,22.0
578,20.0
579,21.0
580,23.0
581,22.0
582,20.0
583,21.0
584,22.0
585,22.0
586,20.0
587,21.0
588,22.0
589,22.0
590,21.0
591,20.0
592,21.0
593,22.0
594,22.0
595,21.0
596,21.0
597,21.0
598,22.0
599,22.0
600,20.0
601,22.0
602,21.0
603,22.0
604,21.0
605,22.0
606,22.0
607,21.0
608,21.0
609,22.0
610,22.0
611,21.0
612,20.0
613,22.0
614,21.0
615,22.0
616,20.0
617,22.0
618,21.0
619,22.0
620,20.0
621,22.0
622,21.0
623,22.0
624,20.0
625,22.0
626,21.0
627,20.0
628,22.0
629,22.0
630,20.0
631,21.0
632,22.0
633,22.0
634,21.0
635,22.0
636,20.0
637,22.0
638,21.0
639,21.0
640,21.0
641,22.0
642,21.0
643,21.0
644,22.0
645,22.0
646,21.0
647,21.0
648,21.0
649,22.0
650,21.0
651,21.0
652,21.0
653,22.0
654,22.0
655,21.0
656,21.0
657,21.0
658,22.0
659,21.0
660,22.0
661,20.0
662,22.0
663,21.0
664,21.0
665,21.0
666,22.0
667,21.0
668,21.0
669,21.0
670,22.0
671,20.0
672,23.0
673,21.0
674,22.0
675,20.0
676,21.0
677,23.0
678,22.0
679,20.0
680,23.0
681,21.0
682,22.0
683,21.0
684,21.0
685,21.0
686,22.0
687,21.0
688,21.0
689,21.0
690,22.0
691,21.0
692,21.0
693,20.0
694,21.0
695,22.0
696,20.0
697,21.0
698,22.0
699,21.0
700,21.0
701,21.0
702,22.0
703,21.0
704,20.0
705,20.0
706,22.0
707,21.0
708,21.0
709,21.0
710,20.0
711,21.0
712,21.0
713,21.0
714,22.0
715,21.0
716,20.0
717,20.0
718,20.0
719,20.0
720,21.0
721,22.0
722,20.0
723,20.0
724,22.0
725,20.0
726,20.0
727,20.0
728,22.0
729,20.0
730,20.0
731,22.0
732,19.0
733,21.0
734,20.0
735,21.0
736,20.0
737,22.0
738,20.0
739,22.0
740,20.0
741,20.0
742,20.0
743,20.0
744,22.0
745,20.0
746,21.0
747,22.0
748,20.0
749,20.0
750,20.0
751,21.0
752,19.0
753,23.0
754,19.0
755,21.0
756,21.0
757,22.0
758,21.0
759,18.0
760,22.0
761,21.0
762,22.0
763,18.0
764,21.0
765,22.0
766,18.0
767,20.0
768,22.0
769,18.0
770,21.0
771,20.0
772,24.0
773,21.0
774,24.0
775,17.0
776,21.0
777,21.0
778,23.0
779,19.0
780,21.0
781,21.0
782,20.0
783,23.0
784,21.0
785,21.0
786,20.0
787,23.0
788,21.0
789,21.0
790,19.0
791,20.0
792,23.0
793,21.0
794,20.0
795,23.0
796,20.0
797,20.0
798,22.0
799,21.0
800,21.0
801,22.0
802,20.0
803,22.0
804,20.0
805,20.0
806,22.0
807,22.0
808,20.0
809,20.0
810,20.0
811,22.0
812,22.0
813,21.0
814,21.0
815,21.0
816,21.0
817,20.0
818,21.0
819,21.0
820,21.0
821,20.0
822,20.0
823,21.0
824,21.0
825,20.0
826,21.0
827,20.0
828,21.0
829,21.0
830,20.0
831,20.0
832,21.0
833,21.0
834,21.0
835,20.0
836,22.0
837,20.0
838,21.0
839,22.0
840,21.0
841,21.0
842,21.0
843,21.0
844,21.0
845,21.0
846,21.0
847,21.0
848,22.0
849,21.0
850,21.0
851,21.0
852,22.0
853,21.0
854,21.0
855,21.0
856,21.0
857,21.0
858,22.0
859,22.0
860,21.0
861,21.0
862,21.0
863,23.0
864,21.0
865,21.0
866,21.0
867,22.0
868,22.0
869,21.0
870,21.0
871,22.0
872,22.0
873,21.0
874,21.0
875,22.0
876,21.0
877,21.0
878,21.0
879,22.0
880,21.0
881,22.0
882,20.0
883,21.0
884,21.0
885,20.0
886,22.0
887,20.0
888,21.0
889,22.0
890,20.0
891,20.0
892,21.0
893,22.0
894,20.0
895,20.0
896,21.0
897,20.0
898,20.0
899,22.0
900,22.0
901,19.0
902,20.0
903,22.0
904,22.0
905,19.0
906,20.0
907,22.0
908,22.0
909,20.0
910,22.0
911,20.0
912,22.0
913,20.0
914,22.0
915,20.0
916,22.0
917,20.0
918,21.0
919,22.0
920,22.0
921,20.0
922,22.0
923,22.0
924,21.0
925,22.0
926,21.0
927,21.0
928,22.0
929,22.0
930,21.0
931,22.0
932,21.0
933,21.0
934,22.0
935,22.0
936,20.0
937,21.0
938,22.0
939,22.0
940,22.0
941,20.0
942,21.0
943,22.0
944,22.0
945,22.0
946,20.0
947,21.0
948,22.0
949,20.0
950,21.0
951,22.0
952,20.0
953,21.0
954,22.0
955,22.0
956,20.0
957,21.0
958,22.0
959,22.0
960,20.0
961,20.0
962,22.0
963,22.0
964,19.0
965,20.0
966,20.0
967,22.0
968,22.0
969,19.0
970,20.0
971,22.0
972,21.0
973,19.0
974,22.0
975,21.0
976,21.0
977,20.0
978,22.0
979,21.0
980,21.0
981,21.0
982,19.0
983,22.0
984,21.0
985,21.0
986,19.0
987,22.0
988,21.0
989,20.0
990,22.0
991,21.0
992,21.0
993,19.0
994,22.0
995,22.0
996,21.0
997,20.0
998,19.0
999,21.0
1000,22.0
1001,21.0
1002,20.0
1003,19.0
1004,21.0
1005,20.0
1006,20.0
1007,22.0
1008,21.0
1009,20.0
1010,21.0
1011,21.0
1012,21.0
1013,20.0
1014,21.0
1015,22.0
1016,21.0
1017,20.0
1018,22.0
1019,21.0
1020,21.0
1021,20.0
1022,21.0
1023,22.0
1024,20.0
1025,21.0
1026,21.0
1027,22.0
1028,19.0
1029,21.0
1030,21.0
1031,19.0
1032,22.0
1033,21.0
1034,20.0
1035,19.0
1036,21.0
1037,22.0
1038,20.0
1039,20.0
1040,20.0
1041,22.0
1042,22.0
1043,20.0
1044,20.0
1045,21.0
1046,22.0
1047,20.0
1048,20.0
1049,20.0
1050,20.0
1051,20.0
1052,20.0
1053,22.0
1054,21.0
1055,20.0
1056,20.0
1057,22.0
1058,20.0
1059,21.0
1060,20.0
1061,22.0
1062,22.0
1063,19.0
1064,20.0
1065,20.0
1066,22.0
1067,20.0
1068,19.0
1069,20.0
1070,20.0
1071,19.0
1072,21.0
1073,21.0
1074,22.0
1075,20.0
1076,19.0
1077,21.0
1078,21.0
1079,21.0
1080,21.0
1081,21.0
1082,21.0
1083,21.0
1084,21.0
1085,21.0
1086,21.0
1087,21.0
1088,21.0
1089,21.0
1090,21.0
1091,21.0
1092,21.0
1093,21.0
1094,22.0
1095,21.0
1096,21.0
1097,20.0
1098,21.0
1099,20.0
1100,20.0
1101,21.0
1102,22.0
1103,20.0
1104,20.0
1105,22.0
1106,21.0
1107,20.0
1108,19.0
1109,23.0
1110,21.0
1111,21.0
1112,19.0
1113,23.0
1114,21.0
1115,23.0
1116,21.0
1117,19.0
1118,23.0
1119,21.0
1120,21.0
1121,20.0
1122,21.0
1123,21.0
1124,20.0
1125,23.0
1126,21.0
1127,21.0
1128,20.0
1129,21.0
1130,23.0
1131,21.0
1132,20.0
1133,20.0
1134,23.0
1135,21.0
1136,21.0
1137,20.0
1138,23.0
1139,21.0
1140,21.0
1141,21.0
1142,22.0
1143,23.0
1144,22.0
1145,20.0
1146,22.0
1147,22.0
1148,22.0
1149,22.0
1150,22.0
1151,22.0
1152,22.0
1153,22.0
1154,22.0
1155,22.0
1156,22.0
1157,22.0
1158,22.0
1159,22.0
1160,22.0
1161,22.0
1162,22.0
1163,22.0
1164,22.0
1165,22.0
1166,21.0
1167,22.0
1168,22.0
1169,21.0
1170,22.0
1171,22.0
1172,22.0
1173,21.0
1174,22.0
1175,22.0
1176,23.0
1177,20.0
1178,22.0
1179,22.0
1180,20.0
1181,22.0
1182,22.0
1183,20.0
1184,22.0
1185,22.0
1186,22.0
1187,20.0
1188,22.0
1189,22.0
1190,22.0
1191,19.0
1192,22.0
1193,24.0
1194,22.0
1195,19.0
1196,23.0
1197,22.0
1198,22.0
1199,18.0
1200,23.0
1201,21.0
1202,22.0
1203,22.0
1204,18.0
1205,22.0
1206,23.0
1207,19.0
1208,22.0
1209,23.0
1210,22.0
1211,19.0
1212,23.0
1213,23.0
1214,21.0
1215,21.0
1216,19.0
1217,23.0
1218,21.0
1219,21.0
1220,20.0
1221,20.0
1222,21.0
1223,20.0
1224,20.0
1225,23.0
1226,20.0
1227,20.0
1228,21.0
1229,22.0
1230,20.0
1231,20.0
1232,22.0
1233,19.0
1234,21.0
1235,21.0
1236,20.0
1237,20.0
1238,19.0
1239,19.0
1240,21.0
1241,20.0
1242,20.0
1243,21.0
1244,20.0
1245,20.0
1246,20.0
1247,21.0
1248,19.0
1249,20.0
1250,21.0
1251,20.0
1252,20.0
1253,20.0
1254,21.0
1255,20.0
1256,20.0
1257,20.0
1258,22.0
1259,20.0
1260,20.0
1261,19.0
1262,22.0
1263,22.0
1264,20.0
1265,20.0
1266,18.0
1267,22.0
1268,20.0
1269,20.0
1270,19.0
1271,19.0
1272,21.0
1273,19.0
1274,22.0
1275,20.0
1276,19.0
1277,22.0
1278,20.0
1279,22.0
1280,22.0
1281,19.0
1282,22.0
1283,21.0
1284,19.0
1285,22.0
1286,22.0
1287,21.0
1288,22.0
1289,20.0
1290,22.0
1291,21.0
1292,20.0
1293,22.0
1294,21.0
1295,22.0
1296,20.0
1297,22.0
1298,21.0
1299,22.0
1300,21.0
1301,22.0
1302,20.0
1303,21.0
1304,22.0
1305,22.0
1306,21.0
1307,22.0
1308,22.0
1309,20.0
1310,22.0
1311,22.0
1312,22.0
1313,22.0
1314,22.0
1315,22.0
1316,22.0
1317,20.0
1318,21.0
1319,22.0
1320,21.0
1321,21.0
1322,21.0
1323,22.0
1324,21.0
1325,21.0
1326,21.0
1327,21.0
1328,21.0
1329,21.0
1330,21.0
1331,21.0
1332,21.0
1333,21.0
1334,21.0
1335,20.0
1336,21.0
1337,21.0
1338,21.0
1339,20.0
1340,21.0
1341,21.0
1342,20.0
1343,21.0
1344,21.0
1345,21.0
1346,20.0
1347,21.0
1348,21.0
1349,21.0
1350,21.0
1351,20.0
1352,21.0
1353,21.0
1354,21.0
1355,20.0
1356,21.0
1357,21.0
1358,21.0
1359,21.0
1360,21.0
1361,18.0
1362,23.0
1363,22.0
1364,19.0
1365,21.0
1366,22.0
1367,21.0
1368,22.0
1369,21.0
1370,19.0
1371,21.0
1372,23.0
1373,20.0
1374,20.0
1375,21.0
1376,23.0
1377,20.0
1378,21.0
1379,21.0
1380,20.0
1381,23.0
1382,21.0
1383,21.0
1384,19.0
1385,24.0
1386,20.0
1387,21.0
1388,19.0
1389,24.0
1390,20.0
1391,21.0
1392,19.0
1393,24.0
1394,19.0
1395,21.0
1396,19.0
1397,24.0
1398,20.0
1399,21.0
1400,19.0
1401,24.0
1402,20.0
1403,20.0
1404,18.0
1405,24.0
1406,24.0
1407,20.0
1408,20.0
1409,19.0
1410,24.0
1411,20.0
1412,20.0
1413,20.0
1414,20.0
1415,21.0
1416,21.0
1417,23.0
1418,18.0
1419,21.0
1420,21.0
1421,18.0
1422,23.0
1423,21.0
1424,21.0
1425,23.0
1426,17.0
1427,21.0
1428,22.0
1429,22.0
1430,18.0
1431,20.0
1432,22.0
1433,22.0
1434,18.0
1435,20.0
1436,19.0
1437,22.0
1438,22.0
1439,20.0
1440,18.0
1441,22.0
1442,22.0
1443,20.0
1444,22.0
1445,18.0
1446,21.0
1447,22.0
1448,22.0
1449,22.0
1450,19.0
1451,21.0
1452,22.0
1453,19.0
1454,22.0
1455,20.0
1456,21.0
1457,22.0
1458,19.0
1459,20.0
1460,20.0
1461,22.0
1462,23.0
1463,20.0
1464,22.0
1465,23.0
1466,20.0
1467,21.0
1468,24.0
1469,21.0
1470,20.0
1471,21.0
1472,20.0
1473,24.0
1474,21.0
1475,21.0
1476,24.0
1477,20.0
1478,20.0
1479,21.0
1480,21.0
1481,24.0
1482,20.0
1483,20.0
1484,21.0
1485,24.0
1486,21.0
1487,21.0
1488,24.0
1489,20.0
1490,20.0
1491,21.0
1492,24.0
1493,20.0
1494,21.0
1495,19.0
1496,20.0
1497,24.0
1498,20.0
1499,19.0
1500,20.0
1501,24.0
1502,20.0
1503,19.0
1504,20.0
1505,23.0
1506,20.0
1507,20.0
1508,19.0
1509,23.0
