,1000,1001,1002,1004,1010,1011,1012,1014,1030,1031,1032,1034,1040,1041,1042,1044,1200,1201,1202,1204,1210,1211,1212,1214,1230,1231,1232,1234,1240,1241,1242,1244,1300,1301,1302,1304,1310,1311,1312,1314,1330,1331,1332,1334,1340,1341,1342,1344,1400,1401,1402,1404,1410,1411,1412,1414,1430,1431,1432,1434,1440,1441,1442,1444,2000,2001,2002,2004,2010,2011,2012,2014,2030,2031,2032,2034,2040,2041,2042,2044,2200,2201,2202,2204,2210,2211,2212,2214,2230,2231,2232,2234,2240,2241,2242,2244,2300,2301,2302,2304,2310,2311,2312,2314,2330,2331,2332,2334,2340,2341,2342,2344,2400,2401,2402,2404,2410,2411,2412,2414,2430,2431,2432,2434,2440,2441,2442,2444,3000,3001,3002,3004,3010,3011,3012,3014,3030,3031,3032,3034,3040,3041,3042,3044,3200,3201,3202,3204,3210,3211,3212,3214,3230,3231,3232,3234,3240,3241,3242,3244,3300,3301,3302,3304,3310,3311,3312,3314,3330,3331,3332,3334,3340,3341,3342,3344,3400,3401,3402,3404,3410,3411,3412,3414,3430,3431,3432,3434,3440,3441,3442,3444
0,-142,-81,-97,-92,-80,-56,-31,-43,-64,-24,-56,-21,-97,-4,-29,-35,-95,-34,-43,-21,-63,-20,-3,-18,-27,-8,-15,0,-46,0,0,-16,-64,-27,-39,-43,-46,-18,-18,0,-23,0,0,-10,-43,0,0,0,-88,-61,-37,-57,-52,0,-11,-3,-60,0,0,-11,-24,-11,-20,-36,-149,-124,-86,-87,-106,-44,-30,-43,-97,-56,-28,-36,-102,-27,-46,-24,-69,-3,-56,-29,-62,-18,0,0,-26,0,-43,-17,-22,-1,-10,0,-96,-24,-54,-58,-28,-21,-18,-1,-3,0,-18,0,-25,0,-24,0,-78,-18,-70,-43,0,-7,-19,-13,-30,0,-26,0,-47,-30,-43,-15,-123,-124,-94,-118,-99,-49,-18,-48,-76,-44,-57,-56,-105,-22,0,-59,-99,-28,-29,-58,-50,-26,-17,0,-40,0,-3,-18,-42,-1,-12,0,-90,-45,-32,-32,-66,-54,-13,-21,-59,-18,0,-42,-51,-24,-18,-14,-72,0,-15,-59,-18,-20,0,-18,-29,-18,-10,-3,-26,-17,-14,0
1,-126,-80,-106,-83,-104,-61,-17,-59,-60,-28,-44,-14,-86,-19,-46,-42,-94,-39,-40,-18,-56,-28,-10,-18,-14,-18,-15,0,-49,0,-5,-15,-78,-42,-41,-58,-25,-15,-20,-5,-31,0,0,-18,-46,0,0,0,-105,-54,-39,-62,-46,0,0,-11,-54,0,0,-11,-18,-2,-13,-29,-162,-121,-85,-95,-105,-48,-15,-35,-86,-50,-19,-48,-100,-26,-36,-53,-88,-17,-65,-34,-54,-1,0,0,-33,0,-30,-12,-53,0,-29,0,-109,-26,-42,-56,-5,-14,-21,0,-19,0,-2,0,-25,-50,-9,0,-70,-5,-54,-36,0,-14,-25,-14,-48,0,-17,-6,-37,-15,-48,-26,-138,-117,-103,-115,-101,-37,-20,-50,-89,-30,-66,-57,-110,-4,0,-52,-91,-36,-14,-51,-52,-19,0,0,-37,-5,-19,-18,-38,0,-13,0,-97,-44,-15,-21,-53,-46,-21,-12,-54,-29,0,-28,-28,-16,-14,-3,-83,0,-19,-61,-19,-25,0,0,-18,-19,0,-18,-16,-19,-23,0
