,ego,pro
319,24.0,78.0
320,24.0,80.0
321,24.0,72.0
322,24.0,56.0
323,24.0,72.0
324,24.0,79.0
325,25.0,70.0
326,26.0,68.0
327,27.0,82.0
328,27.0,80.0
329,25.0,71.0
330,26.0,60.0
331,27.0,82.0
332,31.0,59.0
333,25.0,83.0
334,26.0,60.0
335,31.0,60.0
336,25.0,86.0
337,26.0,88.0
338,27.0,89.0
339,31.0,73.0
340,25.0,85.0
341,26.0,72.0
342,27.0,75.0
343,31.0,74.0
344,25.0,74.0
345,26.0,104.0
346,27.0,93.0
347,31.0,77.0
348,31.0,74.0
349,25.0,64.0
350,26.0,107.0
351,27.0,63.0
352,31.0,62.0
353,25.0,107.0
354,26.0,63.0
355,27.0,54.0
356,25.0,107.0
357,26.0,60.0
358,27.0,58.0
359,31.0,54.0
360,25.0,57.0
361,26.0,104.0
362,27.0,102.0
363,31.0,65.0
364,25.0,60.0
365,26.0,75.0
366,27.0,59.0
367,31.0,37.0
368,24.0,38.0
369,24.0,60.0
370,24.0,72.0
371,31.0,58.0
372,24.0,123.0
373,24.0,122.0
374,31.0,79.0
375,24.0,122.0
376,24.0,77.0
377,24.0,61.0
378,24.0,72.0
379,24.0,43.0
380,24.0,70.0
381,24.0,69.0
382,24.0,71.0
383,24.0,66.0
384,24.0,148.0
385,25.0,58.0
386,28.0,66.0
387,24.0,76.0
388,25.0,76.0
389,28.0,71.0
390,24.0,70.0
391,25.0,70.0
392,28.0,82.0
393,24.0,87.0
394,53.0,85.0
395,25.0,87.0
396,29.0,78.0
397,24.0,82.0
398,53.0,73.0
399,53.0,82.0
400,25.0,188.0
401,29.0,84.0
402,24.0,93.0
403,24.0,182.0
404,53.0,86.0
405,25.0,83.0
406,29.0,99.0
407,24.0,189.0
408,25.0,78.0
409,29.0,71.0
410,30.0,194.0
411,53.0,162.0
412,25.0,106.0
413,30.0,110.0
414,25.0,101.0
415,53.0,109.0
416,25.0,110.0
417,25.0,79.0
418,53.0,180.0
419,25.0,100.0
420,25.0,81.0
421,55.0,120.0
422,38.0,108.0
423,29.0,110.0
424,24.0,104.0
425,55.0,93.0
426,24.0,65.0
427,38.0,67.0
428,29.0,92.0
429,24.0,67.0
430,55.0,119.0
431,29.0,112.0
432,24.0,99.0
433,55.0,112.0
434,38.0,105.0
435,29.0,105.0
436,56.0,101.0
437,25.0,100.0
438,41.0,80.0
439,27.0,101.0
440,25.0,81.0
441,35.0,102.0
442,41.0,102.0
443,27.0,69.0
444,25.0,91.0
445,35.0,255.0
446,27.0,119.0
447,25.0,77.0
448,35.0,245.0
449,35.0,98.0
450,41.0,204.0
451,27.0,118.0
452,25.0,204.0
453,35.0,61.0
454,34.0,179.0
455,40.0,124.0
456,27.0,202.0
457,25.0,62.0
458,40.0,49.0
459,27.0,106.0
460,36.0,49.0
461,25.0,104.0
462,40.0,101.0
463,25.0,95.0
464,25.0,57.0
465,26.0,100.0
466,25.0,157.0
467,25.0,158.0
468,25.0,59.0
469,46.0,59.0
470,24.0,79.0
471,25.0,59.0
472,46.0,72.0
473,26.0,53.0
474,25.0,63.0
475,38.0,156.0
476,46.0,53.0
477,25.0,154.0
478,38.0,159.0
479,25.0,60.0
480,25.0,157.0
481,25.0,52.0
482,25.0,132.0
483,38.0,63.0
484,25.0,146.0
485,25.0,138.0
486,31.0,64.0
487,25.0,138.0
488,25.0,68.0
489,31.0,102.0
490,25.0,64.0
491,31.0,94.0
492,25.0,155.0
493,24.0,155.0
494,31.0,159.0
495,25.0,94.0
496,31.0,91.0
497,25.0,106.0
498,89.0,162.0
499,24.0,91.0
500,31.0,107.0
501,45.0,143.0
502,24.0,91.0
503,24.0,101.0
504,45.0,149.0
505,24.0,100.0
506,85.0,93.0
507,24.0,113.0
508,24.0,139.0
509,45.0,92.0
510,85.0,93.0
511,24.0,92.0
512,24.0,93.0
513,45.0,119.0
514,85.0,95.0
515,24.0,143.0
516,24.0,99.0
517,45.0,95.0
518,85.0,94.0
519,24.0,110.0
520,24.0,50.0
521,46.0,91.0
522,80.0,107.0
523,24.0,107.0
524,24.0,107.0
525,80.0,54.0
526,80.0,100.0
527,26.0,41.0
528,80.0,122.0
529,80.0,100.0
530,26.0,118.0
531,31.0,97.0
532,54.0,118.0
533,80.0,59.0
534,26.0,115.0
535,31.0,117.0
536,53.0,115.0
537,26.0,99.0
538,31.0,63.0
539,53.0,112.0
540,53.0,100.0
541,26.0,111.0
542,31.0,67.0
543,53.0,116.0
544,78.0,64.0
545,26.0,101.0
546,31.0,70.0
547,53.0,86.0
548,25.0,108.0
549,26.0,72.0
550,31.0,84.0
551,25.0,105.0
552,25.0,75.0
553,33.0,102.0
554,26.0,75.0
555,31.0,96.0
556,33.0,96.0
557,25.0,99.0
558,26.0,92.0
559,31.0,99.0
560,33.0,76.0
561,26.0,92.0
562,31.0,101.0
563,24.0,89.0
564,32.0,103.0
565,26.0,95.0
566,24.0,86.0
567,31.0,89.0
568,33.0,86.0
569,24.0,105.0
570,24.0,91.0
571,31.0,94.0
572,24.0,85.0
573,32.0,65.0
574,24.0,85.0
575,24.0,93.0
576,31.0,58.0
577,24.0,60.0
578,24.0,73.0
579,24.0,98.0
580,24.0,74.0
581,24.0,99.0
582,24.0,58.0
583,24.0,106.0
584,24.0,55.0
585,24.0,55.0
586,24.0,119.0
587,24.0,61.0
588,24.0,113.0
589,24.0,110.0
590,24.0,105.0
591,24.0,68.0
592,24.0,67.0
593,24.0,113.0
594,24.0,142.0
