,wait
532,21.0
533,20.0
534,15.0
535,21.0
536,15.0
537,19.0
538,21.0
539,17.0
540,19.0
541,18.0
542,15.0
543,21.0
544,18.0
545,20.0
546,21.0
547,19.0
548,16.0
549,20.0
550,16.0
551,21.0
552,19.0
553,18.0
554,15.0
555,22.0
556,19.0
557,18.0
558,15.0
559,17.0
560,25.0
561,18.0
562,17.0
563,16.0
564,25.0
565,19.0
566,16.0
567,16.0
568,26.0
569,15.0
570,20.0
571,17.0
572,19.0
573,24.0
574,14.0
575,17.0
576,19.0
577,23.0
578,16.0
579,17.0
580,19.0
581,23.0
582,15.0
583,17.0
584,18.0
585,22.0
586,16.0
587,16.0
588,23.0
589,13.0
590,16.0
591,12.0
592,16.0
593,23.0
594,12.0
595,15.0
596,16.0
597,22.0
598,16.0
599,22.0
600,14.0
601,19.0
602,16.0
603,14.0
604,19.0
605,14.0
606,26.0
607,20.0
608,14.0
609,21.0
610,26.0
611,21.0
612,23.0
613,23.0
614,14.0
615,21.0
616,23.0
617,21.0
618,21.0
619,16.0
620,21.0
621,22.0
622,16.0
623,20.0
624,21.0
625,21.0
626,21.0
627,16.0
628,20.0
629,23.0
630,22.0
631,16.0
632,20.0
633,20.0
634,25.0
635,20.0
636,16.0
637,19.0
638,21.0
639,17.0
640,25.0
641,19.0
642,22.0
643,26.0
644,18.0
645,26.0
646,19.0
647,22.0
648,18.0
649,25.0
650,22.0
651,16.0
652,15.0
653,25.0
654,19.0
655,17.0
656,17.0
657,21.0
658,15.0
659,18.0
660,20.0
661,22.0
662,20.0
663,18.0
664,18.0
665,20.0
666,23.0
667,19.0
668,18.0
669,17.0
670,19.0
671,23.0
672,17.0
673,19.0
674,23.0
675,18.0
676,20.0
677,17.0
678,19.0
679,24.0
680,20.0
681,18.0
682,23.0
683,21.0
684,18.0
685,18.0
686,22.0
687,19.0
688,20.0
689,22.0
690,17.0
691,24.0
692,20.0
693,22.0
694,18.0
695,24.0
696,18.0
697,20.0
698,18.0
699,23.0
700,20.0
701,19.0
702,18.0
703,22.0
704,18.0
705,18.0
706,17.0
707,21.0
708,17.0
709,18.0
710,21.0
711,17.0
712,18.0
713,15.0
714,20.0
715,17.0
716,14.0
717,20.0
718,17.0
719,21.0
720,21.0
721,15.0
722,17.0
723,21.0
724,20.0
725,14.0
726,17.0
727,20.0
728,14.0
729,19.0
730,22.0
731,14.0
732,17.0
733,21.0
734,19.0
735,18.0
736,13.0
737,14.0
738,20.0
739,17.0
740,13.0
741,14.0
742,20.0
743,13.0
744,17.0
745,14.0
746,18.0
747,13.0
748,14.0
749,21.0
750,18.0
751,13.0
752,14.0
753,21.0
754,18.0
755,15.0
756,17.0
757,14.0
758,23.0
759,16.0
760,15.0
761,17.0
762,22.0
763,15.0
764,21.0
765,16.0
766,16.0
767,16.0
768,15.0
769,21.0
770,16.0
771,13.0
772,20.0
773,18.0
774,16.0
775,14.0
776,13.0
777,20.0
778,16.0
779,15.0
780,14.0
781,19.0
782,16.0
783,17.0
784,16.0
785,16.0
786,15.0
787,16.0
788,15.0
789,18.0
790,16.0
791,18.0
792,16.0
793,17.0
794,18.0
795,15.0
796,16.0
797,18.0
798,17.0
799,19.0
800,17.0
801,17.0
802,18.0
803,17.0
804,18.0
805,16.0
806,18.0
807,16.0
808,16.0
809,16.0
810,16.0
811,17.0
812,16.0
813,15.0
814,16.0
815,18.0
816,15.0
817,17.0
818,16.0
819,19.0
820,15.0
821,16.0
822,18.0
823,15.0
824,23.0
825,20.0
826,20.0
827,24.0
828,19.0
829,20.0
830,19.0
831,25.0
832,19.0
833,19.0
834,25.0
835,18.0
836,21.0
837,18.0
838,19.0
839,18.0
840,18.0
841,24.0
842,19.0
843,17.0
844,26.0
845,18.0
846,19.0
847,17.0
848,25.0
849,19.0
850,17.0
851,20.0
852,23.0
853,18.0
854,20.0
855,18.0
856,23.0
857,18.0
858,20.0
859,18.0
860,22.0
861,19.0
862,19.0
863,18.0
