,wait
532,26.0
533,25.0
534,20.0
535,27.0
536,23.0
537,26.0
538,22.0
539,25.0
540,23.0
541,30.0
542,20.0
543,23.0
544,24.0
545,31.0
546,23.0
547,19.0
548,22.0
549,32.0
550,21.0
551,18.0
552,22.0
553,18.0
554,32.0
555,22.0
556,19.0
557,16.0
558,26.0
559,19.0
560,22.0
561,16.0
562,22.0
563,19.0
564,27.0
565,23.0
566,28.0
567,17.0
568,18.0
569,22.0
570,15.0
571,15.0
572,27.0
573,19.0
574,15.0
575,15.0
576,22.0
577,14.0
578,29.0
579,20.0
580,16.0
581,27.0
582,15.0
583,21.0
584,15.0
585,19.0
586,15.0
587,15.0
588,15.0
589,16.0
590,18.0
591,19.0
592,18.0
593,15.0
594,15.0
595,20.0
596,16.0
597,18.0
598,16.0
599,15.0
600,21.0
601,17.0
602,22.0
603,15.0
604,16.0
605,18.0
606,19.0
607,18.0
608,18.0
609,20.0
610,16.0
611,17.0
612,20.0
613,18.0
614,20.0
615,17.0
616,18.0
617,16.0
618,20.0
619,15.0
620,23.0
621,16.0
622,21.0
623,24.0
624,16.0
625,15.0
626,22.0
627,24.0
628,21.0
629,22.0
630,15.0
631,21.0
632,23.0
633,15.0
634,22.0
635,22.0
636,21.0
637,21.0
638,21.0
639,20.0
640,14.0
641,21.0
642,14.0
643,21.0
644,21.0
645,22.0
646,27.0
647,14.0
648,18.0
649,20.0
650,21.0
651,28.0
652,14.0
653,19.0
654,23.0
655,15.0
656,24.0
657,26.0
658,15.0
659,25.0
660,21.0
661,24.0
662,15.0
663,19.0
664,14.0
665,18.0
666,24.0
667,18.0
668,16.0
669,14.0
670,24.0
671,25.0
672,18.0
673,14.0
674,18.0
675,14.0
676,24.0
677,18.0
678,14.0
679,18.0
680,18.0
681,25.0
682,18.0
683,14.0
684,24.0
685,18.0
686,17.0
687,15.0
688,18.0
689,17.0
690,17.0
691,15.0
692,26.0
693,16.0
694,20.0
695,15.0
696,15.0
697,17.0
698,15.0
699,16.0
700,22.0
701,17.0
702,19.0
703,15.0
704,17.0
705,16.0
706,21.0
707,15.0
708,17.0
709,16.0
710,15.0
711,17.0
712,16.0
713,17.0
714,22.0
715,15.0
716,16.0
717,23.0
718,17.0
719,17.0
720,22.0
721,17.0
722,18.0
723,20.0
724,21.0
725,15.0
726,20.0
727,21.0
728,22.0
729,21.0
730,16.0
731,24.0
732,21.0
733,22.0
734,21.0
735,22.0
736,22.0
737,21.0
738,17.0
739,20.0
740,20.0
741,17.0
742,20.0
743,16.0
744,18.0
745,19.0
746,17.0
747,26.0
748,16.0
749,19.0
750,18.0
751,27.0
752,18.0
753,19.0
754,14.0
755,18.0
756,18.0
757,18.0
758,14.0
759,19.0
760,28.0
761,19.0
762,20.0
763,19.0
764,14.0
765,15.0
766,32.0
767,19.0
768,17.0
769,14.0
770,35.0
771,30.0
772,13.0
773,19.0
774,35.0
775,18.0
776,32.0
777,13.0
778,18.0
779,18.0
780,14.0
781,29.0
782,20.0
783,14.0
784,18.0
785,14.0
