,wait
532,24.0
533,21.0
534,17.0
535,19.0
536,24.0
537,18.0
538,19.0
539,27.0
540,15.0
541,28.0
542,16.0
543,15.0
544,26.0
545,26.0
546,16.0
547,27.0
548,14.0
549,25.0
550,14.0
551,18.0
552,23.0
553,23.0
554,15.0
555,19.0
556,23.0
557,24.0
558,15.0
559,19.0
560,24.0
561,24.0
562,18.0
563,24.0
564,17.0
565,18.0
566,22.0
567,24.0
568,17.0
569,22.0
570,19.0
571,23.0
572,18.0
573,18.0
574,19.0
575,22.0
576,20.0
577,18.0
578,22.0
579,21.0
580,22.0
581,21.0
582,16.0
583,21.0
584,16.0
585,22.0
586,13.0
587,20.0
588,16.0
589,14.0
590,23.0
591,16.0
592,16.0
593,23.0
594,15.0
595,15.0
596,17.0
597,23.0
598,14.0
599,17.0
600,15.0
601,16.0
602,21.0
603,27.0
604,15.0
605,20.0
606,16.0
607,15.0
608,20.0
609,17.0
610,29.0
611,14.0
612,19.0
613,17.0
614,29.0
615,19.0
616,15.0
617,28.0
618,18.0
619,19.0
620,15.0
621,28.0
622,18.0
623,19.0
624,15.0
625,28.0
626,18.0
627,15.0
628,20.0
629,28.0
630,19.0
631,15.0
632,21.0
633,21.0
634,17.0
635,19.0
636,23.0
637,19.0
638,22.0
639,22.0
640,17.0
641,18.0
642,21.0
643,24.0
644,18.0
645,17.0
646,24.0
647,21.0
648,18.0
649,19.0
650,18.0
651,24.0
652,17.0
653,18.0
654,21.0
655,17.0
656,20.0
657,18.0
658,21.0
659,16.0
660,19.0
661,17.0
662,20.0
663,18.0
664,16.0
665,17.0
666,20.0
667,18.0
668,16.0
669,23.0
670,18.0
671,20.0
672,23.0
673,16.0
674,18.0
675,18.0
676,18.0
677,24.0
678,17.0
679,20.0
680,18.0
681,17.0
682,25.0
683,20.0
684,16.0
685,18.0
686,19.0
687,25.0
688,17.0
689,15.0
690,19.0
691,25.0
692,17.0
693,16.0
694,18.0
695,19.0
696,16.0
697,28.0
698,19.0
699,26.0
700,18.0
701,19.0
702,15.0
703,26.0
704,18.0
705,16.0
706,24.0
707,18.0
708,16.0
709,24.0
710,18.0
711,18.0
712,24.0
713,18.0
714,17.0
715,18.0
716,24.0
717,18.0
718,17.0
719,19.0
720,17.0
721,20.0
722,17.0
723,18.0
724,17.0
725,20.0
726,19.0
727,18.0
728,17.0
729,20.0
730,17.0
731,17.0
732,18.0
733,18.0
734,18.0
735,18.0
736,18.0
737,20.0
738,18.0
739,19.0
740,17.0
741,23.0
742,19.0
743,14.0
744,17.0
745,22.0
746,19.0
747,17.0
748,22.0
749,15.0
750,20.0
751,19.0
752,15.0
753,21.0
754,18.0
755,19.0
756,18.0
757,19.0
758,18.0
759,27.0
760,19.0
761,19.0
762,28.0
763,17.0
764,19.0
765,19.0
766,18.0
767,26.0
768,20.0
769,25.0
770,17.0
771,21.0
772,19.0
773,18.0
774,24.0
775,16.0
776,23.0
777,18.0
778,23.0
779,17.0
780,26.0
781,17.0
782,27.0
783,24.0
784,17.0
785,20.0
786,23.0
787,25.0
788,19.0
789,21.0
790,25.0
791,18.0
792,17.0
793,23.0
794,19.0
795,25.0
796,18.0
797,23.0
798,19.0
799,26.0
800,18.0
801,20.0
802,23.0
803,19.0
804,24.0
805,21.0
806,18.0
807,25.0
808,22.0
809,17.0
810,18.0
811,20.0
812,22.0
813,17.0
814,21.0
815,18.0
816,24.0
817,17.0
818,20.0
819,19.0
820,25.0
821,18.0
822,19.0
823,20.0
824,21.0
825,17.0
826,20.0
827,22.0
828,18.0
829,16.0
830,19.0
831,18.0
832,16.0
833,25.0
834,18.0
835,18.0
836,16.0
837,25.0
838,17.0
839,26.0
840,18.0
841,18.0
842,17.0
843,17.0
844,27.0
845,18.0
846,18.0
847,16.0
848,26.0
849,17.0
850,19.0
851,16.0
852,26.0
853,18.0
854,18.0
855,16.0
856,27.0
857,19.0
858,18.0
859,18.0
860,17.0
861,25.0
862,18.0
863,16.0
864,23.0
865,17.0
866,18.0
867,23.0
868,16.0
869,18.0
870,22.0
871,19.0
872,18.0
873,16.0
874,18.0
875,21.0
876,20.0
877,18.0
878,21.0
879,19.0
880,20.0
881,17.0
882,17.0
883,19.0
884,20.0
885,19.0
886,17.0
887,19.0
888,17.0
889,17.0
890,19.0
891,18.0
892,19.0
893,17.0
894,19.0
895,18.0
896,17.0
897,16.0
898,19.0
899,19.0
900,16.0
901,20.0
902,17.0
903,18.0
904,19.0
905,21.0
906,17.0
907,18.0
908,20.0
909,19.0
910,15.0
911,16.0
