,wait
532,12.0
533,13.0
534,11.0
535,12.0
536,11.0
537,12.0
538,13.0
539,12.0
540,11.0
541,12.0
542,13.0
543,11.0
544,13.0
545,11.0
546,12.0
547,13.0
548,11.0
549,11.0
550,12.0
551,12.0
552,11.0
553,13.0
554,11.0
555,12.0
556,13.0
557,11.0
558,11.0
559,12.0
560,12.0
561,11.0
562,11.0
563,12.0
564,11.0
565,11.0
566,12.0
567,12.0
568,12.0
569,11.0
570,11.0
571,12.0
572,12.0
573,11.0
574,11.0
575,12.0
576,11.0
577,11.0
578,11.0
579,12.0
580,11.0
581,12.0
582,11.0
583,11.0
584,12.0
585,11.0
586,11.0
587,11.0
588,11.0
589,11.0
590,11.0
591,11.0
592,11.0
593,11.0
594,11.0
595,11.0
596,11.0
597,11.0
598,11.0
599,11.0
600,11.0
601,11.0
602,11.0
603,11.0
604,11.0
605,13.0
606,11.0
607,11.0
608,11.0
609,11.0
610,13.0
611,11.0
612,11.0
613,11.0
614,14.0
615,13.0
616,11.0
617,14.0
618,11.0
619,11.0
620,12.0
621,11.0
622,12.0
623,11.0
624,11.0
625,12.0
626,12.0
627,11.0
628,12.0
629,16.0
630,12.0
631,11.0
632,12.0
633,12.0
634,11.0
635,16.0
636,17.0
637,12.0
638,11.0
639,12.0
640,17.0
641,11.0
642,12.0
643,12.0
644,11.0
645,17.0
646,13.0
647,13.0
648,12.0
649,17.0
650,13.0
651,11.0
652,12.0
653,11.0
654,15.0
655,12.0
656,13.0
657,15.0
658,11.0
659,11.0
660,12.0
661,15.0
662,11.0
663,13.0
664,11.0
665,14.0
666,11.0
667,11.0
668,13.0
669,14.0
670,11.0
671,12.0
672,11.0
673,12.0
674,12.0
675,12.0
676,12.0
677,11.0
678,11.0
679,11.0
680,12.0
681,11.0
682,11.0
683,11.0
684,13.0
685,11.0
686,11.0
687,11.0
688,13.0
689,11.0
690,11.0
691,11.0
692,11.0
693,12.0
694,11.0
695,11.0
696,12.0
697,12.0
698,12.0
699,11.0
700,12.0
701,12.0
702,11.0
703,11.0
704,12.0
705,12.0
706,11.0
707,12.0
708,12.0
709,11.0
710,12.0
711,12.0
712,12.0
713,13.0
714,12.0
715,12.0
716,12.0
717,11.0
718,13.0
719,12.0
720,12.0
721,13.0
722,12.0
723,11.0
724,11.0
725,13.0
726,12.0
727,11.0
728,12.0
729,13.0
730,11.0
731,11.0
732,12.0
733,13.0
734,11.0
735,12.0
736,13.0
737,11.0
738,12.0
739,12.0
740,11.0
741,12.0
742,12.0
743,12.0
744,12.0
745,12.0
746,11.0
747,11.0
748,11.0
749,12.0
750,12.0
751,12.0
752,11.0
753,12.0
754,12.0
755,12.0
756,11.0
757,11.0
758,12.0
759,11.0
760,12.0
761,11.0
762,12.0
763,11.0
764,12.0
765,11.0
766,12.0
767,12.0
768,11.0
769,12.0
770,11.0
771,11.0
772,12.0
773,11.0
774,12.0
775,12.0
776,11.0
777,11.0
778,11.0
779,12.0
780,12.0
781,11.0
782,12.0
783,11.0
784,12.0
785,12.0
786,12.0
787,12.0
788,11.0
789,12.0
790,12.0
791,11.0
792,11.0
793,13.0
794,12.0
795,11.0
796,11.0
797,13.0
798,13.0
799,11.0
800,13.0
801,13.0
802,11.0
803,11.0
804,13.0
805,13.0
806,12.0
807,11.0
808,13.0
809,13.0
810,13.0
811,12.0
812,13.0
813,11.0
814,13.0
815,12.0
816,11.0
817,13.0
818,12.0
819,11.0
820,13.0
821,12.0
822,15.0
823,11.0
824,12.0
825,13.0
826,14.0
827,12.0
828,14.0
829,11.0
830,12.0
831,12.0
832,12.0
833,14.0
834,12.0
835,12.0
836,12.0
837,12.0
838,13.0
839,14.0
840,12.0
841,13.0
842,13.0
843,13.0
844,13.0
845,12.0
846,12.0
847,13.0
848,13.0
849,13.0
850,13.0
851,12.0
852,13.0
853,13.0
854,12.0
855,13.0
856,13.0
857,13.0
858,13.0
859,13.0
860,12.0
861,13.0
862,13.0
863,12.0
864,15.0
865,12.0
866,13.0
867,13.0
868,15.0
869,12.0
870,14.0
871,13.0
872,15.0
873,14.0
874,12.0
875,12.0
876,11.0
877,12.0
878,14.0
879,12.0
880,15.0
881,14.0
882,14.0
883,11.0
884,12.0
885,14.0
886,14.0
887,15.0
888,13.0
889,14.0
890,15.0
891,12.0
892,13.0
893,14.0
894,12.0
895,14.0
896,13.0
897,13.0
898,14.0
899,13.0
900,12.0
901,15.0
902,14.0
903,13.0
904,13.0
905,13.0
906,15.0
907,14.0
908,15.0
909,12.0
910,14.0
911,13.0
912,12.0
913,13.0
914,12.0
915,13.0
916,13.0
917,13.0
918,13.0
919,12.0
920,13.0
921,13.0
922,14.0
923,14.0
924,13.0
925,13.0
926,14.0
927,14.0
928,14.0
929,12.0
930,13.0
931,13.0
932,12.0
933,13.0
934,12.0
935,13.0
936,14.0
937,12.0
938,13.0
939,14.0
940,13.0
941,13.0
942,13.0
943,14.0
944,14.0
945,12.0
946,13.0
947,12.0
948,13.0
949,13.0
950,13.0
951,12.0
952,12.0
953,13.0
954,12.0
955,12.0
956,15.0
957,12.0
958,12.0
959,15.0
960,12.0
961,12.0
962,14.0
963,14.0
964,11.0
965,12.0
966,14.0
967,12.0
968,12.0
969,12.0
970,11.0
971,12.0
972,14.0
973,11.0
974,12.0
975,12.0
976,14.0
977,11.0
978,12.0
979,13.0
980,13.0
981,13.0
982,11.0
983,13.0
984,13.0
985,11.0
986,14.0
987,13.0
988,13.0
989,13.0
990,11.0
991,11.0
992,13.0
993,13.0
994,13.0
995,11.0
996,13.0
997,11.0
998,12.0
999,11.0
1000,11.0
1001,14.0
1002,13.0
1003,12.0
1004,11.0
1005,14.0
1006,11.0
1007,15.0
1008,12.0
1009,12.0
1010,14.0
1011,12.0
1012,11.0
1013,12.0
1014,15.0
1015,14.0
1016,11.0
1017,12.0
1018,12.0
1019,14.0
1020,12.0
1021,11.0
1022,12.0
1023,11.0
1024,12.0
1025,11.0
1026,11.0
1027,12.0
1028,13.0
1029,12.0
1030,11.0
1031,12.0
1032,12.0
1033,13.0
1034,11.0
1035,12.0
1036,12.0
1037,13.0
1038,12.0
1039,11.0
1040,12.0
1041,12.0
1042,12.0
1043,11.0
1044,12.0
1045,11.0
1046,12.0
1047,12.0
1048,12.0
1049,13.0
1050,11.0
1051,12.0
1052,11.0
1053,11.0
1054,11.0
1055,11.0
1056,12.0
1057,12.0
1058,11.0
1059,11.0
1060,11.0
1061,13.0
1062,13.0
1063,11.0
1064,11.0
1065,11.0
1066,13.0
1067,11.0
1068,13.0
1069,11.0
1070,11.0
1071,11.0
1072,12.0
1073,11.0
1074,12.0
1075,11.0
1076,11.0
1077,12.0
1078,12.0
1079,11.0
1080,13.0
1081,12.0
1082,13.0
1083,11.0
1084,12.0
1085,11.0
1086,13.0
1087,12.0
1088,13.0
1089,11.0
1090,11.0
1091,12.0
1092,13.0
1093,11.0
1094,13.0
1095,14.0
1096,12.0
1097,13.0
1098,11.0
1099,14.0
1100,12.0
1101,13.0
1102,13.0
1103,12.0
1104,12.0
1105,11.0
1106,13.0
1107,13.0
1108,11.0
1109,12.0
1110,12.0
1111,12.0
1112,11.0
1113,13.0
1114,12.0
1115,13.0
1116,11.0
1117,11.0
1118,12.0
1119,13.0
1120,11.0
1121,11.0
1122,11.0
