,wait
532,25.0
533,20.0
534,20.0
535,18.0
536,25.0
537,19.0
538,20.0
539,17.0
540,20.0
541,20.0
542,19.0
543,20.0
544,16.0
545,20.0
546,20.0
547,20.0
548,17.0
549,18.0
550,20.0
551,16.0
552,20.0
553,18.0
554,19.0
555,18.0
556,18.0
557,23.0
558,16.0
559,18.0
560,27.0
561,16.0
562,25.0
563,13.0
564,19.0
565,16.0
566,14.0
567,18.0
568,16.0
569,14.0
570,18.0
571,27.0
572,17.0
573,14.0
574,27.0
575,16.0
576,14.0
577,18.0
578,17.0
579,22.0
580,26.0
581,18.0
582,18.0
583,21.0
584,28.0
585,14.0
586,29.0
587,17.0
588,20.0
589,20.0
590,28.0
591,18.0
592,23.0
593,20.0
594,26.0
595,26.0
596,24.0
597,20.0
598,19.0
599,22.0
600,19.0
601,21.0
602,22.0
603,17.0
604,20.0
605,21.0
606,29.0
607,16.0
608,22.0
609,27.0
610,16.0
611,22.0
612,21.0
613,24.0
614,20.0
615,23.0
616,21.0
617,18.0
618,24.0
619,21.0
620,25.0
621,20.0
622,17.0
623,23.0
624,25.0
625,16.0
626,20.0
627,25.0
628,22.0
629,15.0
630,28.0
631,24.0
632,16.0
633,20.0
634,20.0
635,35.0
636,16.0
637,19.0
638,16.0
639,28.0
640,24.0
641,30.0
642,22.0
643,16.0
644,22.0
645,30.0
646,30.0
647,18.0
648,31.0
649,22.0
650,17.0
651,30.0
652,17.0
653,20.0
654,33.0
655,16.0
656,16.0
657,31.0
658,17.0
659,26.0
660,32.0
661,20.0
662,36.0
663,16.0
664,31.0
665,37.0
666,19.0
667,18.0
668,37.0
669,31.0
670,19.0
671,16.0
672,26.0
673,19.0
674,16.0
675,36.0
676,19.0
677,21.0
678,36.0
679,16.0
680,19.0
681,33.0
682,18.0
683,33.0
684,18.0
685,17.0
686,18.0
687,22.0
688,32.0
689,17.0
690,19.0
691,18.0
692,27.0
693,27.0
694,18.0
695,17.0
696,27.0
697,26.0
698,17.0
699,28.0
700,26.0
701,16.0
702,19.0
703,15.0
704,19.0
705,15.0
706,16.0
707,17.0
708,25.0
709,15.0
710,16.0
711,29.0
712,14.0
713,15.0
714,28.0
715,15.0
716,16.0
717,16.0
718,15.0
719,19.0
720,16.0
721,27.0
722,16.0
723,18.0
724,15.0
725,17.0
726,31.0
727,17.0
728,17.0
729,21.0
730,33.0
731,16.0
732,19.0
733,21.0
734,16.0
735,21.0
736,21.0
737,16.0
738,33.0
739,21.0
740,19.0
741,16.0
742,37.0
743,19.0
744,22.0
745,20.0
746,19.0
747,16.0
748,19.0
749,21.0
750,19.0
751,31.0
752,19.0
753,36.0
754,17.0
755,22.0
756,19.0
757,20.0
758,22.0
759,18.0
760,35.0
761,22.0
762,22.0
763,40.0
764,38.0
765,17.0
766,19.0
767,20.0
768,23.0
769,19.0
770,35.0
771,19.0
772,19.0
773,24.0
774,19.0
775,19.0
776,23.0
777,19.0
778,39.0
779,19.0
780,21.0
781,37.0
782,23.0
783,22.0
784,35.0
785,23.0
786,35.0
787,23.0
788,19.0
789,24.0
790,20.0
791,23.0
792,24.0
793,21.0
794,29.0
795,25.0
796,30.0
797,23.0
798,22.0
799,24.0
800,19.0
801,19.0
802,25.0
803,24.0
804,23.0
805,19.0
806,20.0
807,21.0
808,22.0
809,22.0
810,21.0
811,18.0
812,20.0
813,18.0
814,21.0
815,21.0
816,18.0
817,17.0
818,21.0
819,19.0
820,15.0
821,20.0
822,20.0
823,15.0
824,20.0
825,18.0
826,21.0
827,15.0
828,20.0
829,20.0
830,16.0
831,21.0
832,19.0
833,16.0
834,15.0
835,14.0
836,18.0
837,24.0
838,17.0
839,24.0
840,14.0
841,15.0
842,16.0
843,24.0
844,15.0
845,18.0
846,24.0
847,14.0
848,16.0
849,14.0
850,17.0
851,17.0
852,23.0
853,14.0
854,18.0
855,17.0
856,14.0
857,14.0
858,26.0
859,18.0
860,16.0
861,18.0
862,27.0
863,14.0
864,14.0
865,26.0
866,18.0
867,17.0
868,26.0
869,18.0
870,14.0
871,18.0
872,26.0
873,14.0
874,18.0
875,16.0
876,15.0
877,20.0
878,18.0
879,15.0
880,18.0
881,21.0
882,20.0
883,15.0
884,21.0
885,24.0
886,13.0
887,15.0
888,23.0
889,20.0
890,12.0
891,17.0
892,23.0
893,20.0
894,11.0
895,16.0
896,23.0
897,20.0
898,11.0
899,23.0
900,18.0
901,20.0
902,20.0
903,11.0
904,19.0
905,21.0
906,19.0
907,20.0
908,13.0
909,22.0
910,14.0
911,18.0
912,19.0
913,21.0
914,14.0
915,20.0
916,19.0
917,19.0
918,20.0
919,23.0
920,14.0
921,23.0
922,14.0
923,19.0
924,15.0
925,16.0
926,21.0
927,14.0
928,19.0
929,18.0
930,15.0
931,17.0
932,16.0
933,19.0
934,16.0
935,18.0
936,15.0
937,20.0
938,14.0
939,13.0
940,19.0
941,22.0
942,22.0
943,22.0
944,19.0
945,13.0
946,22.0
947,17.0
948,24.0
949,22.0
950,20.0
951,23.0
952,15.0
953,24.0
954,22.0
955,15.0
956,22.0
957,19.0
958,24.0
959,22.0
960,15.0
961,19.0
962,15.0
963,23.0
964,17.0
965,22.0
966,15.0
967,24.0
968,15.0
969,17.0
970,23.0
971,23.0
972,16.0
973,17.0
974,26.0
975,24.0
976,15.0
977,17.0
978,24.0
979,13.0
980,18.0
981,23.0
982,14.0
983,26.0
984,18.0
985,14.0
986,18.0
987,24.0
988,24.0
989,16.0
990,14.0
991,18.0
992,21.0
993,14.0
994,29.0
995,16.0
996,16.0
997,28.0
998,18.0
999,16.0
1000,14.0
1001,16.0
1002,29.0
1003,21.0
1004,16.0
1005,28.0
1006,19.0
1007,14.0
1008,21.0
1009,19.0
1010,27.0
1011,15.0
1012,21.0
1013,17.0
1014,15.0
1015,17.0
1016,21.0
1017,15.0
1018,31.0
1019,22.0
1020,17.0
1021,15.0
1022,17.0
1023,35.0
1024,22.0
1025,16.0
1026,17.0
1027,21.0
1028,36.0
1029,17.0
1030,17.0
1031,34.0
1032,28.0
1033,21.0
1034,15.0
1035,34.0
1036,17.0
1037,22.0
1038,17.0
1039,34.0
1040,21.0
1041,17.0
1042,24.0
1043,26.0
1044,14.0
1045,19.0
1046,16.0
1047,25.0
1048,16.0
1049,25.0
1050,23.0
1051,16.0
1052,27.0
1053,29.0
1054,16.0
1055,25.0
1056,27.0
1057,24.0
1058,29.0
1059,24.0
1060,27.0
1061,25.0
1062,15.0
1063,19.0
1064,27.0
1065,17.0
1066,17.0
1067,25.0
1068,25.0
1069,18.0
1070,26.0
1071,25.0
1072,17.0
1073,23.0
1074,18.0
1075,25.0
1076,23.0
1077,17.0
1078,20.0
1079,25.0
1080,21.0
1081,17.0
1082,19.0
1083,21.0
1084,27.0
1085,26.0
1086,22.0
1087,18.0
1088,18.0
1089,26.0
1090,12.0
1091,22.0
1092,20.0
1093,23.0
1094,23.0
1095,12.0
1096,20.0
1097,13.0
1098,20.0
1099,20.0
1100,20.0
1101,20.0
1102,20.0
1103,13.0
1104,21.0
1105,20.0
1106,20.0
1107,19.0
1108,21.0
1109,18.0
1110,21.0
1111,19.0
1112,27.0
1113,21.0
1114,16.0
1115,22.0
1116,21.0
1117,36.0
1118,14.0
1119,22.0
1120,35.0
1121,13.0
1122,20.0
1123,34.0
1124,14.0
1125,22.0
1126,35.0
1127,14.0
1128,22.0
1129,23.0
1130,36.0
1131,14.0
1132,24.0
1133,19.0
1134,35.0
1135,24.0
1136,19.0
1137,14.0
1138,24.0
1139,19.0
1140,20.0
1141,23.0
1142,33.0
1143,16.0
1144,35.0
1145,19.0
1146,22.0
1147,25.0
1148,36.0
1149,31.0
1150,23.0
1151,19.0
1152,35.0
1153,20.0
1154,21.0
1155,22.0
1156,20.0
1157,28.0
1158,27.0
1159,21.0
1160,27.0
1161,23.0
1162,25.0
1163,27.0
1164,27.0
1165,21.0
1166,25.0
1167,23.0
1168,27.0
1169,25.0
1170,29.0
1171,27.0
1172,20.0
1173,23.0
1174,23.0
1175,26.0
1176,26.0
1177,28.0
1178,25.0
1179,26.0
1180,28.0
1181,29.0
1182,23.0
1183,29.0
1184,25.0
1185,25.0
1186,27.0
1187,26.0
1188,24.0
1189,23.0
1190,21.0
1191,24.0
1192,28.0
1193,22.0
1194,26.0
1195,16.0
1196,21.0
1197,24.0
1198,27.0
1199,21.0
1200,24.0
1201,16.0
1202,21.0
1203,26.0
1204,21.0
1205,21.0
1206,24.0
1207,19.0
1208,19.0
1209,20.0
