,wait
532,26.0
533,45.0
534,30.0
535,26.0
536,25.0
537,29.0
538,49.0
539,26.0
540,28.0
541,24.0
542,28.0
543,27.0
544,48.0
545,25.0
546,32.0
547,24.0
548,47.0
549,25.0
550,33.0
551,29.0
552,29.0
553,34.0
554,29.0
555,45.0
556,29.0
557,25.0
558,50.0
559,32.0
560,25.0
561,38.0
562,41.0
563,26.0
564,33.0
565,36.0
566,26.0
567,40.0
568,43.0
569,33.0
570,25.0
571,36.0
572,34.0
573,45.0
574,30.0
575,32.0
576,32.0
577,49.0
578,40.0
579,36.0
580,41.0
581,30.0
582,35.0
583,37.0
584,34.0
585,30.0
586,25.0
587,37.0
588,27.0
589,35.0
590,46.0
591,34.0
592,44.0
593,28.0
594,37.0
595,30.0
596,28.0
597,44.0
598,28.0
599,23.0
600,39.0
601,29.0
602,38.0
603,35.0
604,26.0
605,42.0
606,25.0
607,25.0
608,28.0
609,40.0
610,37.0
611,27.0
612,22.0
613,40.0
614,34.0
615,26.0
616,23.0
617,38.0
618,35.0
619,28.0
620,24.0
621,48.0
622,43.0
623,40.0
624,33.0
625,34.0
626,31.0
627,43.0
628,34.0
629,49.0
630,31.0
631,36.0
632,56.0
633,34.0
634,38.0
635,35.0
636,33.0
637,34.0
638,43.0
639,33.0
640,35.0
641,41.0
642,35.0
643,39.0
644,33.0
645,40.0
646,38.0
647,38.0
648,33.0
649,35.0
650,38.0
651,34.0
652,35.0
653,38.0
654,34.0
655,33.0
656,36.0
657,35.0
658,34.0
659,38.0
660,35.0
661,36.0
662,36.0
663,37.0
664,35.0
665,35.0
666,42.0
667,35.0
668,34.0
669,26.0
670,36.0
671,24.0
672,30.0
673,24.0
674,44.0
675,45.0
676,24.0
677,30.0
678,24.0
679,24.0
680,25.0
681,29.0
682,38.0
683,24.0
684,27.0
685,22.0
686,24.0
687,44.0
688,24.0
689,23.0
690,23.0
691,41.0
692,25.0
693,24.0
694,24.0
695,42.0
696,24.0
697,24.0
698,23.0
699,38.0
700,23.0
701,21.0
702,24.0
703,39.0
704,25.0
705,24.0
706,25.0
707,23.0
708,38.0
709,23.0
710,40.0
711,26.0
712,24.0
713,31.0
714,25.0
715,22.0
716,34.0
717,28.0
718,25.0
719,28.0
720,23.0
721,36.0
722,22.0
723,25.0
724,26.0
725,39.0
726,37.0
727,24.0
728,25.0
729,26.0
730,32.0
731,31.0
732,24.0
733,26.0
734,32.0
735,33.0
736,26.0
737,26.0
738,26.0
739,36.0
740,27.0
741,29.0
742,34.0
743,35.0
744,28.0
745,24.0
746,31.0
747,34.0
748,25.0
749,30.0
750,30.0
751,27.0
752,26.0
753,30.0
754,25.0
755,33.0
756,27.0
757,31.0
