,Rewards,Steps,WaitTime
244,-442.54,161,17.79
245,-582.01,130,16.14
246,-634.41,150,16.36
247,-282.36,134,16.44
248,-281.0,170,16.12
249,-729.83,132,16.12
250,-581.46,138,16.71
251,-778.73,130,14.43
252,-224.16,128,14.03
253,-274.18,175,14.54
254,-381.92,131,16.25
255,-738.27,137,17.84
256,-532.47,160,16.53
257,-484.61,157,16.12
258,-490.15,135,18.81
259,-225.34,144,14.39
260,-732.47,129,16.68
261,-725.43,143,14.38
262,-876.76,126,15.29
263,-433.12,141,15.67
264,-342.44,143,18.46
265,-780.92,124,14.95
266,-187.06,159,16.69
267,-278.78,149,15.12
268,-480.12,135,15.92
269,-382.89,149,16.7
270,-432.77,138,15.69
271,-580.8,144,15.07
272,-231.05,144,16.42
273,-172.98,122,14.01
274,-627.98,146,14.95
275,-282.1,133,16.41
276,-582.0,124,15.9
277,-735.0,137,17.01
278,-572.53,123,13.86
279,-491.28,142,17.78
280,-226.51,126,15.45
281,-578.65,128,14.7
282,-680.55,132,15.76
283,-326.14,123,14.07
284,-730.06,168,16.03
285,-577.42,130,15.66
286,-335.04,134,17.43
287,-281.55,138,16.14
288,-180.92,132,16.7
289,-129.96,129,14.79
290,-435.89,144,17.13
291,-527.09,135,14.52
292,-126.48,138,14.75
293,-628.88,148,15.36
294,-633.69,144,16.71
295,-731.51,136,16.95
296,-527.97,152,15.8
297,-333.16,136,15.76
298,-330.98,140,15.98
299,-231.47,137,15.89
300,-380.82,162,15.86
301,-477.86,155,15.22
302,-475.53,144,13.52
303,-576.48,131,14.85
304,-585.57,154,17.13
305,-335.23,156,17.61
306,-736.32,126,17.15
307,-525.21,135,14.57
308,-230.54,151,14.89
309,-532.03,125,16.19
310,-729.28,150,16.03
311,-533.07,132,16.01
312,-877.09,127,14.49
313,-731.87,133,16.02
314,-629.4,147,15.13
315,-281.57,127,17.1
316,-486.2,143,16.65
317,-775.3,126,14.37
318,-375.79,145,15.44
319,-378.58,137,15.29
320,-542.64,136,18.72
321,-677.43,137,14.61
322,-128.3,154,15.46
323,-235.61,161,17.52
324,-577.9,160,13.91
325,-690.25,133,18.62
326,-283.79,131,15.82
327,-674.02,134,13.58
328,-474.0,120,14.0
329,-633.3,146,16.02
330,-79.48,129,16.55
331,-584.48,128,16.98
332,-725.29,129,14.59
333,-129.28,152,15.47
334,-379.23,126,16.24
335,-280.19,120,15.73
336,-467.34,128,11.45
337,-334.89,159,15.96
338,-631.51,143,15.38
339,-176.05,140,14.26
340,-437.91,161,18.2
341,-726.53,138,14.89
342,-532.26,139,16.01
343,-324.44,136,14.84
344,-778.78,130,16.12
345,-531.49,139,16.68
346,-325.09,137,14.24
347,-381.4,134,16.06
348,-477.14,133,15.03
349,-577.62,137,14.92
350,-477.41,125,15.01
351,-332.63,137,16.93
352,-237.79,140,16.7
353,-635.67,142,17.57
354,-236.5,149,17.16
355,-778.45,129,15.14
356,-375.68,129,15.07
357,-482.69,135,17.19
358,-424.43,123,14.51
359,-430.27,139,16.48
360,-1127.77,144,15.78
361,-584.43,127,17.07
362,-228.4,135,15.58
363,-480.91,137,16.66
364,17.96,145,16.42
365,-780.41,137,15.49
366,-275.27,142,14.36
367,-386.36,142,17.07
368,-826.23,129,14.6
369,-276.28,131,14.83
370,-181.0,128,16.32
371,-530.2,147,15.87
372,-574.08,122,14.52
373,-281.11,125,16.5
374,-683.35,140,16.68
375,-576.75,143,14.34
376,-476.84,143,15.85
377,-379.4,131,15.98
378,-429.39,126,15.64
379,-732.33,160,16.56
380,-335.56,151,17.7
381,-434.87,138,16.81
382,-478.5,140,15.79
383,-325.79,158,15.18
384,-180.19,149,14.71
385,-379.28,133,15.79
386,-576.42,123,14.93
387,-224.08,130,14.44
388,-332.03,152,16.73
389,-479.46,130,15.85
390,-126.58,127,15.37
391,-475.86,142,14.38
392,-280.91,150,15.62
393,-483.2,140,16.53
394,-231.9,148,16.61
395,-481.8,130,16.1
396,-525.69,117,14.0
397,-331.6,126,16.87
398,-476.32,140,14.91
399,-376.67,155,14.71
400,-577.03,130,15.08
401,-377.76,131,15.73
402,-176.44,144,15.29
403,-175.44,132,15.2
404,-782.62,136,16.56
405,-534.39,142,17.11
406,-478.22,139,15.45
407,-636.85,159,16.53
408,-128.63,156,15.65
409,-732.69,126,16.54
410,-275.95,141,14.02
411,-379.47,142,16.11
412,-425.4,145,14.77
413,-578.82,139,15.1
414,-677.65,125,15.3
415,-273.25,117,14.67
416,-378.69,135,16.27
417,-286.5,151,18.21
418,-675.69,137,14.61
419,-326.63,139,14.31
420,-679.17,141,15.14
421,-433.24,147,18.33
422,-130.64,163,15.42
423,-633.81,154,16.48
424,-626.27,145,13.84
425,-725.26,138,14.72
426,-232.83,143,16.55
427,-288.21,144,17.94
428,-632.9,124,16.6
429,-280.85,139,15.55
430,-325.07,121,14.58
431,-770.32,120,12.89
432,-383.12,137,16.93
433,-227.99,152,13.91
434,-581.8,133,15.68
435,-427.84,135,15.33
436,-327.85,129,16.0
437,-274.53,139,13.96
438,-680.77,128,15.64
439,-630.63,123,15.58
440,-183.8,128,16.08
441,-126.41,146,14.35
442,-279.9,131,15.41
443,-276.63,131,15.04
444,-774.76,145,14.26
445,-278.58,153,16.08
446,-329.54,151,15.88
447,-374.52,128,14.14
448,-382.94,134,15.43
449,-180.94,140,16.68
450,-481.95,154,16.24
451,-282.94,140,16.61
452,-474.29,125,14.79
453,-479.96,127,15.71
454,-323.99,131,14.03
455,-274.44,120,14.17
456,-523.79,133,13.65
457,-731.41,138,16.27
458,-576.52,125,15.11
459,-686.95,140,17.44
460,-320.62,126,13.15
461,-230.84,150,16.08
462,-474.9,120,14.72
463,-224.18,121,14.53
464,-640.25,135,18.51
465,-781.17,144,15.95
466,-490.22,163,15.53
467,-477.14,128,14.76
468,-236.07,159,17.45
469,-241.31,181,18.57
470,-683.47,138,16.31
471,-724.2,124,14.22
472,-528.54,132,16.13
473,-725.25,128,14.98
474,-930.84,163,16.0
475,-632.66,154,16.38
476,-725.04,133,14.06
477,-775.51,129,13.92
478,-578.05,142,14.98
479,-424.75,125,13.84
480,-494.58,142,19.19
481,-837.74,163,18.26
482,-386.41,136,17.9
483,-378.4,124,15.91
484,-538.44,163,17.48
485,-477.35,138,15.57
486,-727.18,139,14.85
487,-324.21,147,14.45
488,-576.9,129,14.48
489,-629.19,136,15.34
490,-324.52,139,13.95
491,-626.93,147,14.6
492,-776.21,129,14.69
493,-631.0,145,16.37
494,-131.03,138,15.9
495,-474.74,128,14.43
496,-486.28,150,17.81
497,-178.67,137,15.08
498,-477.3,149,15.28
499,-234.63,145,17.3
500,-579.05,148,15.97
501,-281.87,140,15.84
502,-424.23,123,13.72
503,-525.49,121,14.26
504,-579.42,137,16.56
505,-372.1,138,14.02
506,-429.5,137,15.76
507,-577.84,125,15.59
508,-237.95,149,18.89
509,-382.14,132,16.08
510,-731.88,148,15.45
511,-229.37,138,15.55
512,-373.89,129,14.39
513,-125.66,142,14.83
514,-631.23,126,16.16
515,-680.89,137,16.27
516,-630.24,133,15.72
517,-578.03,119,15.34
518,-482.75,136,17.29
519,-583.77,142,17.01
520,-524.62,121,14.44
521,-631.81,131,16.53
522,-75.86,142,15.47
523,-273.72,122,14.12
524,-774.73,118,14.13
525,-381.51,144,15.32
526,-378.02,139,15.17
527,-876.15,130,15.16
528,-677.26,139,15.1
529,-721.86,134,14.2
530,-530.27,154,16.19
531,-676.95,134,15.83
532,-577.53,128,14.92
533,-428.36,144,15.47
534,-272.31,131,13.43
535,-475.01,139,14.73
536,-687.76,155,17.19
537,-573.05,116,14.42
538,-681.55,130,15.15
539,-240.97,166,18.53
540,-278.28,129,15.49
541,-430.68,137,16.04
542,-427.01,133,16.02
543,-325.47,144,14.29
544,-632.69,143,16.19
545,-527.67,144,15.07
546,-925.64,122,14.52
547,-1081.92,154,15.99
548,-82.48,141,15.92
549,-479.13,146,15.17
550,-428.63,138,15.21
551,-142.18,160,18.44
552,-679.23,125,15.44
553,-238.81,133,17.78
554,-387.85,152,17.58
555,-525.08,161,13.83
556,-788.2,144,17.48
557,-279.55,151,15.09
558,-576.31,134,15.29
559,-383.37,156,16.58
560,18.98,143,15.77
561,-428.76,188,15.2
562,-379.4,128,16.18
563,-682.39,134,16.3
564,-578.64,142,16.25
565,-575.8,133,14.9
566,-340.34,147,18.03
567,-422.99,127,13.78
568,-329.78,148,15.21
569,-89.72,140,18.24
570,-81.95,147,16.6
571,-186.93,157,17.5
572,-480.84,140,16.31
573,-833.08,150,16.79
574,-176.28,140,14.7
575,-728.14,137,16.13
576,-75.21,141,14.47
577,-627.42,153,14.69
578,-526.68,128,15.16
579,-472.32,118,13.86
580,-330.27,134,15.83
581,-226.0,141,14.98
582,-676.0,145,14.19
583,-477.58,142,15.55
584,-533.65,135,16.3
585,-291.14,167,17.56
586,-728.87,138,15.81
587,-786.8,141,16.7
588,-481.74,125,16.57
589,-227.13,142,15.09
590,-931.38,128,16.62
