,Rewards,Steps,WaitTime
80,-896.4319261483682,290,69.53
81,-2834.038287991223,299,72.46
82,-1631.2588923045766,314,69.54
83,-1194.6377547402235,280,71.59
84,-2273.3343101223318,265,62.2
85,-1015.8198571506579,330,80.35
86,-2366.9959952300815,301,62.74
87,-1516.4781387839823,317,59.5
88,-1043.989397506257,289,59.77
89,-1300.6516443364212,299,64.49
90,-1636.4549379597252,301,70.69
91,-4222.056654426802,303,70.35
92,-1793.7183109201883,282,63.99
93,-2262.6581402392967,359,64.49
94,-2153.8872233252855,353,59.43
95,-2095.1281954004926,282,65.18
96,-1718.0902975476038,309,70.64
97,-1521.0519518935898,325,74.93
98,-2430.6332664320494,304,79.94
99,-2691.474598144757,274,65.01
100,-1595.6854670692642,354,69.89
101,-2973.359804148196,299,60.88
102,-2711.686894853038,274,63.73
103,-3582.729224951865,270,62.39
104,-1436.24402058923,304,75.99
105,-1827.534957007316,304,72.04
106,-1667.0200693880583,286,58.58
107,-1860.4751311983769,314,60.37
108,-2605.807236442386,346,79.09
109,-2138.42459044266,306,75.21
110,-1573.6656797967944,283,58.09
111,-1518.9550606101793,323,76.62
112,-2081.527565233325,288,69.74
113,-1615.1646291382192,293,69.23
114,-1829.8428052481402,331,77.29
115,-800.2271429914894,319,65.77
116,-1698.7671691155192,303,66.41
117,-2037.6337968948874,288,63.96
118,-2546.1850775657467,297,59.5
119,-1890.3198987903975,301,70.08
120,-1081.5129232733984,322,72.8
121,-1991.469400965989,296,66.13
122,-1405.7510253674964,319,71.97
123,-2509.653937678788,299,68.64
124,-2387.208537014242,284,68.0
125,-2674.715337825733,288,70.27
126,-1499.4547629870908,267,65.01
127,-1097.8507383503022,291,72.03
128,-1534.4543532705052,300,73.52
129,-1301.0153687572167,316,66.91
130,-1203.8679927199557,295,67.21
131,-1794.3746438851385,319,65.25
132,-1843.7681550856391,330,77.06
133,-2021.3249154942598,292,57.11
134,-2889.1869928486863,265,63.06
135,-2956.230724629237,246,58.46
136,-2311.605799150499,322,66.09
137,-2332.675976107162,278,56.31
138,-1679.3286851726534,314,74.27
139,-2077.0171341386904,285,63.13
140,-3559.643921218627,266,59.16
