,Rewards,Steps,WaitTime
246,-91.11,278,61.84
247,-17.23,318,56.0
248,-3.51,277,55.19
249,-49.79,277,57.42
250,-84.51,242,52.04
251,-38.36,288,56.25
252,-28.28,242,54.94
253,-115.49,279,60.6
254,-78.98,258,59.16
255,-112.35,269,59.26
256,-51.17,245,55.98
257,-84.5,253,50.12
258,18.97,244,55.9
259,-19.18,287,62.22
260,-80.35,253,55.02
261,-65.57,276,62.79
262,-71.24,288,59.17
263,-96.88,260,65.76
264,-82.75,273,65.12
265,-66.95,252,54.19
266,-58.17,283,61.23
267,-110.28,262,62.36
268,2.77,273,51.34
269,-33.77,244,53.99
270,-26.29,257,47.27
271,-81.69,291,65.88
272,-41.43,250,54.31
273,-16.11,275,53.97
274,-56.19,257,51.58
275,16.98,230,48.93
276,-107.35,258,53.15
277,-8.16,267,61.8
278,-63.78,299,56.98
279,-44.39,230,45.25
280,-71.15,326,65.47
281,-48.47,261,55.93
282,-158.02,244,54.45
283,31.95,252,52.99
284,-28.41,267,48.43
285,-93.46,288,54.8
286,-53.47,224,49.84
287,-75.15,281,66.55
288,-118.22,248,58.63
289,16.22,267,62.26
290,-33.94,256,51.29
291,-29.28,267,57.25
292,-40.27,228,49.37
293,-52.77,250,50.28
294,-31.89,293,56.09
295,-75.62,261,56.85
296,-32.75,260,48.78
297,-22.63,259,61.9
298,-50.42,255,57.01
299,-46.59,226,48.17
300,-33.65,238,46.1
301,-62.75,275,54.84
302,20.13,267,50.94
303,-103.22,273,53.28
304,0.52,305,59.25
305,-56.27,225,52.69
306,-20.99,323,67.6
307,-41.02,269,50.15
308,-43.42,255,57.55
309,-43.8,259,48.4
310,-57.47,251,57.41
311,-104.53,244,59.53
312,-96.68,238,49.65
313,2.95,254,55.48
314,-98.66,253,60.87
315,8.9,277,49.62
316,-23.63,306,65.27
317,-28.03,267,55.28
318,-86.19,235,50.04
319,-51.59,248,54.49
320,-89.55,260,44.27
321,-74.48,308,59.46
322,-18.01,272,50.04
323,-22.77,251,49.31
324,-28.95,293,68.95
325,-114.36,287,72.28
326,-48.83,249,52.65
327,1.27,255,44.41
328,-29.94,221,51.68
329,-36.8,244,57.67
330,-61.58,288,56.26
331,-56.08,257,55.44
332,-72.76,254,59.5
333,-15.02,262,55.3
334,-63.66,245,52.41
335,21.21,226,50.98
336,-12.78,261,59.95
337,-88.51,241,56.55
338,-48.4,251,61.21
339,-125.01,262,64.36
340,-56.98,265,58.22
341,-25.45,241,54.62
342,-90.57,232,52.08
343,-95.22,254,46.68
344,-7.18,240,54.86
345,14.39,248,53.15
346,-61.18,245,58.76
347,-31.13,231,50.18
348,-85.74,273,59.35
349,-27.62,246,53.43
350,-88.01,286,73.03
351,10.46,287,53.85
352,-82.52,225,45.63
353,-69.58,246,45.77
354,-31.95,240,53.57
355,-44.63,291,64.72
356,-14.57,259,56.71
357,-144.61,262,59.64
358,-66.45,287,55.45
359,5.84,260,58.76
360,-58.91,275,58.9
361,-10.95,266,55.11
362,6.06,246,51.47
363,-66.89,262,58.48
364,-44.76,243,52.2
365,-114.85,284,56.39
366,-10.84,260,54.86
367,-120.46,262,60.02
368,-140.63,294,60.93
369,-34.05,247,54.09
370,-9.65,286,53.92
371,-30.26,282,49.14
372,-79.96,256,53.97
373,-88.74,269,63.11
374,-17.69,260,61.3
375,-45.86,259,53.21
376,-29.33,246,55.7
377,-0.8,295,55.19
378,-38.63,219,48.67
379,-43.14,243,51.34
380,-10.89,241,51.98
381,-72.64,268,55.25
382,-92.44,251,54.95
383,-60.51,250,55.37
384,7.43,282,49.54
385,-55.65,267,54.39
386,-37.07,271,61.01
387,-61.42,243,51.82
388,-13.2,269,58.91
389,-10.95,256,51.4
390,-8.38,240,52.74
391,0.77,325,60.93
392,-88.27,213,48.59
393,-22.97,255,55.57
394,-60.09,228,52.97
395,-75.37,278,59.29
396,-29.45,279,63.72
397,-54.87,239,56.93
398,-39.5,305,57.78
399,-124.57,266,54.88
400,-130.2,267,60.16
401,-50.25,298,61.12
402,-10.94,225,48.84
403,34.93,326,53.68
404,-49.08,246,51.91
405,-19.94,228,50.71
406,-62.49,266,59.54
407,-38.58,270,55.89
408,-115.23,223,53.53
409,-46.41,268,54.48
410,-43.19,250,51.68
411,-88.35,251,60.47
412,-58.48,234,55.04
413,-131.96,257,65.05
414,-78.23,222,47.24
415,-10.75,241,48.19
416,-109.54,251,50.13
417,-52.8,250,54.3
418,-53.02,255,54.9
419,-18.17,256,52.37
420,-115.44,260,60.18
421,-89.49,278,64.63
422,-31.5,288,63.57
423,-73.0,243,52.55
424,-122.64,278,58.98
425,-0.03,228,50.64
426,-143.13,255,61.79
427,-70.19,249,55.8
428,-83.85,281,61.41
429,-35.11,223,43.72
430,-24.42,254,56.95
431,-15.38,281,58.99
432,-45.83,260,61.49
433,-14.68,274,62.32
434,-21.04,227,43.91
435,-38.8,265,55.61
436,-148.74,252,56.53
437,-13.56,265,55.26
438,-19.12,274,55.43
439,-20.73,247,45.67
440,-84.19,270,61.9
441,-72.08,270,64.89
442,-77.41,287,61.77
443,-50.56,287,61.94
444,-0.52,287,55.81
445,-46.6,231,52.91
446,-6.53,269,48.99
447,-29.05,319,55.08
448,-1.36,271,49.8
449,-37.56,261,57.18
450,-38.57,273,56.56
451,-78.5,270,60.64
452,-1.51,275,56.59
453,-50.69,269,57.18
454,15.3,279,49.94
455,-8.94,255,50.8
456,-30.82,265,57.67
457,8.58,279,48.45
458,-111.08,273,61.81
459,-87.06,243,52.69
460,-40.39,237,51.84
461,-60.57,254,55.47
462,0.59,245,41.88
463,-74.38,271,61.19
464,-23.87,245,54.46
465,-42.57,258,56.72
466,0.01,236,47.19
467,-54.56,303,67.43
468,-30.63,259,57.07
469,-80.84,252,55.43
470,5.73,271,52.14
471,-54.18,241,52.51
472,-36.19,264,55.13
473,-92.38,245,55.46
474,-72.05,246,48.2
475,-93.22,241,49.14
476,12.01,261,53.17
477,-40.28,265,63.09
478,-35.29,225,52.78
479,-82.93,262,52.69
480,-12.92,300,59.64
481,-13.69,245,53.69
482,-41.36,241,54.86
483,7.12,299,64.11
484,-53.81,276,51.98
485,-44.18,243,51.97
486,-45.01,226,47.37
487,-65.29,278,57.59
488,-66.58,272,58.04
489,-96.6,260,57.11
490,-36.99,276,60.26
491,-69.47,254,54.33
492,-26.34,229,49.81
493,-5.02,282,61.46
494,-88.93,305,57.11
495,-110.38,252,53.29
496,-130.05,225,53.26
497,-18.01,248,57.17
498,-37.45,249,58.13
499,-46.13,267,59.05
500,-42.67,229,47.92
501,-93.03,201,45.45
502,-49.72,255,59.73
503,-58.74,271,58.7
504,10.63,240,50.7
505,-58.17,296,63.27
506,-78.71,264,61.49
